sickness:cough, medal:hero, speaker:stereo, tip:waitress, speaker:stereo, sickness:cough
baby:parents, ticket:speeder, bottle:baby, drug:patient, bottle:baby, drug:patient
speeder:ticket, degree:graduate, trophy:champion, baby:parents, baby:parents, trophy:champion
baby:bottle, speeder:ticket, sentence:criminal, fastball:catcher, baby:bottle, sentence:criminal
prescription:patient, partner:dancer, drug:patient, waiter:tip, partner:dancer, prescription:patient
ribbon:winner, diploma:graduate, speaker:stereo, tip:waiter, speaker:stereo, diploma:graduate
employee:check, trophy:champion, donation:charity, speeder:ticket, employee:check, trophy:champion
tip:waitress, sentence:criminal, check:employee, medal:hero, sentence:criminal, medal:hero
drug:patient, bottle:baby, degree:graduate, award:winner, drug:patient, degree:graduate
employee:check, tip:waitress, treatment:patient, payment:debtor, tip:waitress, treatment:patient
religion:disciple, fastball:catcher, degree:graduate, trophy:champion, fastball:catcher, trophy:champion
diploma:student, donation:charity, baby:bottle, award:winner, baby:bottle, award:winner
ribbon:winner, partner:dancer, medal:hero, donation:charity, partner:dancer, donation:charity
sickness:cough, award:winner, religion:disciple, education:student, sickness:cough, award:winner
baby:bottle, bottle:baby, certificate:teacher, baby:parents, bottle:baby, baby:parents
gift:recipient, sentence:criminal, diploma:graduate, certificate:teacher, sentence:criminal, gift:recipient
grant:scientist, diploma:student, bottle:baby, speaker:stereo, speaker:stereo, grant:scientist
degree:graduate, prescription:patient, receipt:customer, employee:check, employee:check, degree:graduate
diploma:graduate, drug:patient, degree:lawyer, payment:debtor, drug:patient, diploma:graduate
treatment:patient, fastball:catcher, grant:scientist, receipt:customer, fastball:catcher, treatment:patient
education:student, speeder:ticket, degree:graduate, cough:sickness, speeder:ticket, education:student
partner:dancer, tip:waitress, religion:disciple, speaker:stereo, speaker:stereo, religion:disciple
waiter:tip, tip:waiter, cough:sickness, check:employee, tip:waiter, waiter:tip
award:winner, drug:patient, ticket:speeder, grant:scientist, drug:patient, award:winner
gift:recipient, grant:scientist, diploma:student, speeder:ticket, speeder:ticket, gift:recipient
degree:lawyer, donation:charity, cough:sickness, baby:bottle, degree:lawyer, cough:sickness
drug:patient, baby:bottle, sentence:criminal, prescription:patient, baby:bottle, drug:patient
baby:parents, payment:debtor, medal:hero, sickness:cough, payment:debtor, medal:hero
sneaker:shoelace, speeder:ticket, payment:debtor, waiter:tip, sneaker:shoelace, waiter:tip
sneaker:shoelace, partner:dancer, drug:patient, baby:parents, sneaker:shoelace, partner:dancer
award:winner, waiter:tip, trophy:champion, ring:bride, waiter:tip, trophy:champion
sickness:cough, tip:waiter, sentence:criminal, diploma:student, tip:waiter, diploma:student
prescription:patient, bottle:baby, rocket:fuel, cough:sickness, rocket:fuel, prescription:patient
certificate:teacher, degree:lawyer, donation:charity, medal:hero, degree:lawyer, medal:hero
tip:waitress, bottle:baby, donation:charity, check:employee, check:employee, donation:charity
certificate:teacher, partner:dancer, ring:bride, ticket:speeder, certificate:teacher, partner:dancer
bottle:baby, ring:bride, grant:scientist, treatment:patient, ring:bride, treatment:patient
check:employee, gift:recipient, religion:disciple, diploma:student, check:employee, gift:recipient
ticket:speeder, baby:bottle, award:winner, waiter:tip, baby:bottle, award:winner
speaker:stereo, cough:sickness, diploma:student, baby:parents, speaker:stereo, diploma:student
treatment:patient, fastball:catcher, sneaker:shoelace, certificate:teacher, sneaker:shoelace, treatment:patient
diploma:graduate, degree:graduate, sentence:criminal, gift:recipient, degree:graduate, gift:recipient
payment:debtor, education:student, degree:lawyer, ribbon:winner, degree:lawyer, ribbon:winner
check:employee, ribbon:winner, drug:patient, payment:debtor, check:employee, ribbon:winner
tip:waiter, tip:waitress, cough:sickness, gift:recipient, cough:sickness, gift:recipient
fastball:catcher, speaker:stereo, donation:charity, degree:graduate, fastball:catcher, donation:charity
receipt:customer, donation:charity, sickness:cough, diploma:student, sickness:cough, donation:charity
treatment:patient, bottle:baby, speeder:ticket, diploma:student, speeder:ticket, treatment:patient
receipt:customer, bottle:baby, sneaker:shoelace, education:student, sneaker:shoelace, education:student.
cough:sickness, receipt:customer, rocket:fuel, employee:check, rocket:fuel, receipt:customer
donation:charity, rocket:fuel, ribbon:winner, grant:scientist, rocket:fuel, donation:charity
receipt:customer, rocket:fuel, payment:debtor, medal:hero, rocket:fuel, payment:debtor
tip:waiter, rocket:fuel, baby:parents, education:student, rocket:fuel, baby:parents
certificate:teacher, religion:disciple, sneaker:shoelace, waiter:tip, sneaker:shoelace, waiter:tip
diploma:graduate, medal:hero, cough:sickness, fastball:catcher, cough:sickness, medal:hero
employee:check, sentence:criminal, speeder:ticket, diploma:graduate, speeder:ticket, diploma:graduate
baby:bottle, speaker:stereo, trophy:champion, grant:scientist, speaker:stereo, trophy:champion
ring:bride, rocket:fuel, speeder:ticket, partner:dancer, rocket:fuel, partner:dancer
certificate:teacher, treatment:patient, prescription:patient, education:student, certificate:teacher, education:student
ticket:speeder, gift:recipient, tip:waiter, trophy:champion, ticket:speeder, trophy:champion
ring:bride, baby:bottle, baby:parents, medal:hero, baby:bottle, baby:parents
award:winner, baby:parents, tip:waitress, grant:scientist, baby:parents, award:winner
ring:bride, employee:check, donation:charity, degree:lawyer, employee:check, donation:charity
sneaker:shoelace, degree:lawyer, gift:recipient, sickness:cough, sneaker:shoelace, gift:recipient
medal:hero, receipt:customer, degree:graduate, baby:bottle, baby:bottle, degree:graduate
