someone perform the action X on Y
slay:dragon, plant:flower, forgive:insult, row:boat, plant:flower, slay:dragon
insult:forgive, shovel:snow, water:plants, operate:machine, insult:forgive, operate:machine
donate:charity, talk:speech, plants:water, shovel:snow, plants:water, donate:charity
sew:rip, paint:canvas, drain:tub, fight:war, fight:war, paint:canvas
floor:sweep, sweep:floor, capture:villain, nurse:baby, sweep:floor, nurse:baby
plant:flower, drain:tub, execute:criminal, nurse:baby, drain:tub, nurse:baby
paint:picture, brush:teeth, forgive:sin, play:instrument, brush:teeth, play:instrument
teach:student, cook:food, nurse:baby, master:craft, master:craft, nurse:baby
boat:row, forgive:sin, brush:teeth, donate:charity, boat:row, brush:teeth
charity:donate, cook:meal, eat:food, drain:tub, charity:donate, drain:tub
execute:criminal, forgive:sin, cook:meal, dig:ditch, execute:criminal, cook:meal
dig:ditch, cook:food, shovel:snow, close:door, close:door, dig:ditch
water:plants, cook:food, mend:clothing, insult:forgive, insult:forgive, water:plants
