a Y is one item in a collection/group of X
bedding:sheet, instrument:piano, flower:daisy, internet:website, internet:website, bedding:sheet
appliance:refrigerator, bedding:sheet, drink:milk, shoe:boot, shoe:boot, drink:milk
dish:bowl, furniture:couch, pet:cat, instrument:piano, furniture:couch, pet:cat
meat:beef, family:father, furniture:chair, furniture:desk, meat:beef, furniture:chair
literature:book, bird:cardinal, dish:bowl, furniture:couch, dish:bowl, bird:cardinal
shoe:boot, literature:book, art:sculpture, furniture:desk, shoe:boot, literature:book
meat:beef, bedding:sheet, animal:raccoon, cordless:phone, cordless:phone, animal:raccoon
tool:hammer, family:father, art:sculpture, furniture:chair, art:sculpture, tool:hammer
family:father, furniture:chair, pet:cat, light:lamp, light:lamp, family:father
art:sculpture, tool:hammer, father:family, seat:couch, tool:hammer, father:family
dish:bowl, phone:cordless, daisy:flower, currency:dollar, phone:cordless, daisy:flower
tool:hammer, film:drama, computer:laptop, refrigerator:appliance, refrigerator:appliance, film:drama
beverage:water, fruit:apple, space:star, dish:bowl, dish:bowl, fruit:apple
beverage:water, container:jug, mammal:gorilla, light:lamp, light:lamp, container:jug
cordless:phone, bird:cardinal, light:lamp, color:green, cordless:phone, bird:cardinal
space:star, refrigerator:appliance, book:novel, bedding:sheet, book:novel, refrigerator:appliance
color:green, furniture:desk, film:drama, currency:dollar, film:drama, currency:dollar
drink:milk, currency:dollar, mica:mineral, refrigerator:appliance, drink:milk, refrigerator:appliance
currency:dollar, pet:cat, instrument:piano, computer:laptop, pet:cat, currency:dollar
fish:trout, flower:daisy, container:jug, bedding:sheet, container:jug, fish:trout
fish:trout, animal:raccoon, currency:dollar, drink:milk, drink:milk, currency:dollar
instrument:piano, daisy:flower, furniture:couch, art:sculpture, art:sculpture, furniture:couch
seat:couch, furniture:desk, refrigerator:appliance, daisy:flower, furniture:desk, daisy:flower
internet:website, mineral:mica, mica:mineral, art:sculpture, mica:mineral, internet:website
beverage:water, cordless:phone, refrigerator:appliance, film:drama, cordless:phone, refrigerator:appliance
light:lamp, art:sculpture, phone:cordless, color:green, phone:cordless, art:sculpture
